jh_family,jl_family,pair_count,R_value,log2_R,Status
IGHJ1,IGLJ6,1,3.7579,1.9099,NS
IGHJ2,IGLJ6,1,2.2716,1.1837,NS
IGHJ3,IGLJ6,5,2.0756,1.0535,NS
IGHJ2,IGKJ4,2873,1.1828,0.2422,NS
IGHJ2,IGLJ2,3056,1.1672,0.2231,NS
IGHJ6,IGKJ3,6580,1.1443,0.1945,NS
IGHJ1,IGKJ1,1996,1.1334,0.1807,NS
IGHJ1,IGKJ4,1642,1.1183,0.1613,NS
IGHJ5,IGLJ7,307,1.1042,0.143,NS
IGHJ5,IGKJ4,11811,1.1038,0.1425,NS
IGHJ3,IGKJ2,14169,1.088,0.1217,NS
IGHJ6,IGLJ2,17167,1.0873,0.1208,NS
IGHJ6,IGKJ5,6221,1.0818,0.1134,NS
IGHJ5,IGKJ5,4507,1.0729,0.1015,NS
IGHJ1,IGKJ2,1530,1.0636,0.0889,NS
IGHJ3,IGKJ1,16936,1.0624,0.0873,NS
IGHJ3,IGLJ1,7759,1.0623,0.0872,NS
IGHJ4,IGLJ7,1260,1.06,0.084,NS
IGHJ5,IGLJ1,6168,1.049,0.069,NS
IGHJ6,IGLJ7,398,1.0457,0.0645,NS
IGHJ4,IGKJ1,56802,1.0353,0.05,NS
IGHJ5,IGLJ6,2,1.0313,0.0445,NS
IGHJ1,IGLJ3,1235,1.028,0.0399,NS
IGHJ4,IGLJ3,38353,1.0247,0.0352,NS
IGHJ5,IGLJ2,11717,1.0159,0.0228,NS
IGHJ4,IGKJ5,18096,1.0075,0.0108,NS
IGHJ3,IGKJ3,5256,1.0073,0.0104,NS
IGHJ3,IGLJ2,14293,0.9976,-0.0035,NS
IGHJ4,IGLJ1,24988,0.994,-0.0087,NS
IGHJ4,IGKJ2,44515,0.9932,-0.0099,NS
IGHJ6,IGKJ4,14542,0.9928,-0.0104,NS
IGHJ4,IGKJ4,45405,0.9925,-0.0108,NS
IGHJ2,IGKJ5,946,0.992,-0.0116,NS
IGHJ5,IGLJ3,8676,0.991,-0.013,NS
IGHJ2,IGLJ1,1319,0.9882,-0.0171,NS
IGHJ5,IGKJ2,10334,0.9857,-0.0207,NS
IGHJ6,IGLJ3,11699,0.9762,-0.0347,NS
IGHJ4,IGKJ3,17436,0.9709,-0.0426,NS
IGHJ2,IGLJ7,61,0.9665,-0.0492,NS
IGHJ4,IGLJ2,47568,0.9647,-0.0519,NS
IGHJ3,IGLJ3,10460,0.9618,-0.0562,NS
IGHJ6,IGKJ2,13749,0.9581,-0.0618,NS
IGHJ1,IGKJ3,549,0.9524,-0.0703,NS
IGHJ6,IGLJ1,7642,0.9494,-0.0749,NS
IGHJ2,IGKJ3,896,0.9396,-0.0898,NS
IGHJ5,IGKJ3,3941,0.9382,-0.092,NS
IGHJ6,IGKJ1,16272,0.9263,-0.1105,NS
IGHJ2,IGKJ2,2199,0.924,-0.114,NS
IGHJ2,IGLJ3,1808,0.9098,-0.1364,NS
IGHJ3,IGKJ4,12011,0.9036,-0.1462,NS
IGHJ5,IGKJ1,11403,0.8886,-0.1705,NS
IGHJ1,IGLJ2,1360,0.8593,-0.2188,NS
IGHJ2,IGKJ1,2474,0.8492,-0.2358,NS
IGHJ3,IGKJ5,4410,0.8451,-0.2429,NS
IGHJ1,IGKJ5,481,0.8344,-0.2612,NS
IGHJ1,IGLJ1,637,0.7895,-0.341,Depleted
IGHJ6,IGLJ6,2,0.7534,-0.4085,NS
IGHJ3,IGLJ7,249,0.7209,-0.4721,Depleted
IGHJ4,IGLJ6,5,0.6031,-0.7296,NS
IGHJ1,IGLJ7,19,0.498,-1.0058,NS
