vh_family,vl_family,pair_count,R_value,log2_R,Status
IGHV2,IGLV9,81,3.2309,1.6919,Enriched
IGHV6,IGLV5,27,2.1942,1.1337,Enriched
IGHV7,IGLV5,52,2.1501,1.1044,Enriched
IGHV2,IGKV5,12,2.0116,1.0083,NS
IGHV7,IGKV5,4,1.656,0.7277,NS
IGHV7,IGLV1,1578,1.6405,0.7142,Enriched
IGHV6,IGKV4,465,1.6036,0.6813,Enriched
IGHV7,IGLV3,1546,1.5933,0.672,Enriched
IGHV6,IGLV9,8,1.549,0.6313,NS
IGHV3,IGLV10,1469,1.4994,0.5844,Enriched
IGHV2,IGLV3,3449,1.4392,0.5253,Enriched
IGHV6,IGLV1,697,1.4242,0.5101,Enriched
IGHV6,IGKV2,402,1.3973,0.4827,Enriched
IGHV7,IGLV4,110,1.3907,0.4758,NS
IGHV3,IGLV4,3296,1.357,0.4404,Enriched
IGHV7,IGLV6,97,1.3535,0.4367,NS
IGHV2,IGLV1,3162,1.331,0.4125,Enriched
IGHV5,IGLV2,4042,1.2749,0.3504,Enriched
IGHV3,IGLV8,2214,1.2494,0.3212,Enriched
IGHV5,IGLV8,220,1.2381,0.3081,NS
IGHV1,IGKV4,7665,1.2007,0.2639,Enriched
IGHV7,IGLV2,1230,1.1946,0.2565,NS
IGHV3,IGLV7,3647,1.1879,0.2484,NS
IGHV4,IGLV9,196,1.174,0.2314,NS
IGHV5,IGLV6,259,1.1737,0.2311,NS
IGHV4,IGLV1,18466,1.1672,0.2231,NS
IGHV3,IGKV2,20156,1.1609,0.2152,NS
IGHV3,IGLV6,2544,1.156,0.2091,NS
IGHV5,IGKV6,106,1.1425,0.1922,NS
IGHV3,IGLV5,848,1.1419,0.1914,NS
IGHV7,IGLV7,113,1.1302,0.1766,NS
IGHV7,IGKV4,644,1.13,0.1763,NS
IGHV1,IGLV7,1255,1.1206,0.1643,NS
IGHV1,IGLV5,301,1.1111,0.152,NS
IGHV6,IGLV2,576,1.0995,0.1368,NS
IGHV5,IGKV3,6449,1.0991,0.1363,NS
IGHV7,IGKV6,33,1.0952,0.1312,NS
IGHV4,IGLV3,17383,1.0892,0.1233,NS
IGHV5,IGLV9,34,1.0878,0.1214,NS
IGHV5,IGKV2,1884,1.0821,0.1139,NS
IGHV1,IGKV2,6822,1.0771,0.1072,NS
IGHV4,IGKV4,10020,1.069,0.0962,NS
IGHV3,IGKV6,986,1.0657,0.0917,NS
IGHV3,IGKV1,74499,1.0655,0.0915,NS
IGHV1,IGKV3,22601,1.0588,0.0825,NS
IGHV4,IGKV5,42,1.0572,0.0803,NS
IGHV3,IGKV5,77,1.0382,0.054,NS
IGHV5,IGLV1,3064,1.0345,0.049,NS
IGHV2,IGLV6,182,1.0282,0.0402,NS
IGHV4,IGLV2,17297,1.0214,0.0305,NS
IGHV1,IGLV9,116,1.0202,0.0288,NS
IGHV4,IGKV6,505,1.019,0.0272,NS
IGHV5,IGLV3,3044,1.0189,0.027,NS
IGHV4,IGKV3,31870,1.0169,0.0241,NS
IGHV6,IGKV3,973,1.0035,0.0051,NS
IGHV1,IGLV2,11497,0.9968,-0.0046,NS
IGHV2,IGKV1,5579,0.9921,-0.0115,NS
IGHV3,IGKV3,57858,0.9888,-0.0163,NS
IGHV2,IGLV2,2509,0.9866,-0.0194,NS
IGHV4,IGKV1,36891,0.9851,-0.0217,NS
IGHV1,IGLV3,10567,0.9722,-0.0406,NS
IGHV1,IGLV1,10299,0.9559,-0.0651,NS
IGHV3,IGLV2,30203,0.9552,-0.0661,NS
IGHV5,IGLV7,294,0.955,-0.0664,NS
IGHV2,IGKV6,70,0.9406,-0.0883,NS
IGHV1,IGKV1,23807,0.9334,-0.0994,NS
IGHV3,IGLV3,27206,0.9131,-0.1312,NS
IGHV3,IGKV4,15875,0.9071,-0.1406,NS
IGHV2,IGKV2,1236,0.8851,-0.1761,NS
IGHV5,IGKV4,1547,0.8816,-0.1818,NS
IGHV3,IGLV1,25654,0.8685,-0.2033,NS
IGHV6,IGLV7,44,0.865,-0.2093,NS
IGHV2,IGLV5,51,0.8538,-0.228,NS
IGHV1,IGLV6,681,0.8483,-0.2373,NS
IGHV6,IGKV6,13,0.848,-0.2379,NS
IGHV1,IGLV4,745,0.8409,-0.2501,NS
IGHV6,IGKV5,1,0.8137,-0.2974,NS
IGHV5,IGKV1,5573,0.7949,-0.3312,Depleted
IGHV4,IGLV8,750,0.7902,-0.3398,Depleted
IGHV6,IGKV1,901,0.7777,-0.3627,Depleted
IGHV2,IGKV3,3653,0.7762,-0.3655,Depleted
IGHV4,IGLV6,914,0.7754,-0.367,Depleted
IGHV1,IGKV6,258,0.7644,-0.3876,Depleted
